Reaction	In-Pathway
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	PWY-I9 // PWY-6151 // PWY-6154 // PWY-6153
SCYTALONE-DEHYDRATASE-RXN	
RXN-24137	PWY-8469
RXN-14207	
R242-RXN	P281-PWY
RXN-15556	PWY-7511
RXN-17722	
RXN66-501	PWY66-395
RXN-2441	
RXN-13628	PWY-7100
RXN-9734	PWY-6043
L-ARABINITOL-4-DEHYDROGENASE-RXN	PWY-5515
RXN-14016	PWY-7175 // RXN-14018
RXN-11431	PWYQT-4471
RXN-10870	PWY-6334
RXN-17284	PWY-7745
RXN-15543	PWY-7507
RXN-20567	PWY-8055
RXN3DJ-11417	PWY3DJ-11470
6.3.3.4-RXN	PWY-5679
PHOSPHOGLYCERATE-PHOSPHATASE-RXN	
RXN0-5184	
RXN1G-811	PWYG-321
RXN-18104	RXN-15434
RXN-21494	
RXN-22192	PWY-8237
RXN-14621	PWY-6411 // RXN-14618
RXN-17316	
RXN-18513	PWY-8121
RXN-18458	
RXN-24171	
RXN-9981	PWY-6133
RXNQT-4352	PWYQT-4476
TAUROCYAMINE-KINASE-RXN	
RXN-9366	PWY-5895
RXN-19219	
RXN-13100	PWY-6997
RXN-23664	PWY-8432
RXN0-4301	PWY0-1241 // PWY-6478
RXN-16454	
RXN-16795	
RXN-15405	PWY-7483
RXN0-882	PWY-7560
RXN-24101	
2.4.1.185-RXN	
RXN-20325	PWY-8039
RXN-1143	PWY-361 // PWY-5168
RXN-19401	PWY-7981
RXN-20099	
RXN-12053	PWY-6688
RXN-15695	
RXN-23488	PWY-8399
RXN0-279	
RXN-22545	PWY-8300
RXN0-6382	
RXN-23286	PWY-8381 // RXN-23289
ARYLAMINE-GLUCOSYLTRANSFERASE-RXN	
RXN-16933	PWY-7696
2.8.3.10-RXN	
RXN-18855	
RXN-21863	
RXN-9926	
RXN-24404	PWY-8501
RXN-17244	
RXN-23867	RXN-7825
R527-RXN	PWY-5370
RXN-8485	PWY-5400
SEPIAPTERIN-DEAMINASE-RXN	
RXN-21820	
RXN-16962	PWY-7702
RXN-23406	PWY-8397
POLYVINYL-ALCOHOL-OXIDASE-RXN	
RXN-18111	
RXN-10090	PWY-6190
RXN-23598	
RXN1F-148	PWY-5946 // PWY-5947
RXN-23023	PWY-8412 // PWY-8400
RXN-11635	
RXN-5821	PWY-7431 // PWY-6802
RXN-16060	
RXN-22891	
RXN-11826	
RXN-22685	PWY-8322
RXN-15586	PWY-8437 // PWY-7513
RXN-13917	PWY-7160
4.2.1.93-RXN	PWY-6938
RXN-22729	ANTHRANSYN-RXN
RXN-12319	PWY-5203
RXN8J2-157	
RXN-17268	
RXN-18144	RXN-18101 // PWY-7088 // 1.14.13.68-RXN // PWY-861
RXN-12862	RXN-21400
RXN-22081	
3-NUCLEOTID-RXN	
RXN-21743	PWY-8179
RXN-23746	PWY-8438
RXN2DNV-15	PWY2DNV-4
RXN-4735	PWY-2902
RXN-18393	PWY-8381 // PWY-7706 // PWY-7694 // PWY-8008
RXN-18588	PWY-7874 // PWY-7871 // RXN-18600
RXN-10902	PWY-6341
RXN-8106	PWY-5207
RXN-21435	RXN-21438 // 2.5.1.44-RXN
RXN-17176	
RXN-16451	
L-XYLULOSE-REDUCTASE-RXN	PWY-5515 // PWY-5525
AMINOPARATHION-PHOSPHATASE-RXN	
RXN-20105	
RXN-23877	
RXN-9069	PWY-5782
RXN-7690	PWY-5075
RXN-1	PWY-0
CREATININASE-RXN	CRNFORCAT-PWY
RXN66-619	PWY-5994
RXN-13340	PWY-7040
RXN-14479	RXN0-1661
4.1.1.81-RXN	PWY-5443
RXN-16460	PWY-7640
CHER-RXN	
RXN-14174	
RXN-15654	PWY-7529
RXN-10113	
RXN-23005	PWY-8400 // PWY-8357 // PWY-8355
RXN-17314	PWY-7738
RXN-11382	PWY-6491
KETOTETROSE-PHOSPHATE-ALDOLASE-RXN	
RXN-24424	PWY-8504
RXN-17234	PWY-7742
RXN-12762	PWY-6935
RXN-13182	
RXN-8331	PWY-762
RXN66-343	PWY66-378
RXN-18820	PWY-5975
RXN-22360	
AMINOBENZOATE-DECARBOXYLASE-RXN	
RXN-22735	CARBPSYN-RXN
LUMAZINESYN-RXN	PWY-6168 // PWY-6167 // RIBOSYN2-PWY
RXN-23385	
RXN-8562	PWY-5733
RXN0-1081	
RXN3O-102	PWY-7230 // PWY3O-19
RXN-12268	PWY-6771
RXN-22333	RXN-24112 // PWY-4202 // PWY-4621 // PWY-8266 // RXN-22363 // RXN-22358 // RXN-21028 // 2.1.1.137-RXN // RXN-22330
RXN-15140	
RXN-24014	PWY-8463
RXN185E-46	PWY185E-9
RXN-16598	PWY-7661
STEROL-ESTERASE-RXN	
RXN-9851	PWY-6061
RXN-20858	RXN-20911 // PWY-8081
RXN-12882	PWY-7477 // RXN-12883
RXN-10709	PWY-6302
RXN-4881	PWY-2981
RXN-775	PWY-699 // PWY-2582
1.6.4.9-RXN	
RXN-22883	PWY-3602 // PWY-7471
RXN-21509	
RXN-17293	PWY-7745
RXN-18669	PWY-6801
2.4.1.45-RXN	
RXN-18984	
RXN-23616	
RXN-11640	PWY-6996 // PWY-6332
RXN0-1661	
RXN-11023	PWY-6383
RXN-20144	PWY-8029
RXN0-7437	RXN0-7439
RXN-12208	PWY-6738
1.1.1.269-RXN	PWY-5534
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	PWY-1501
RXN-20999	PWY-8103 // RXN-20964
RXN-20262	
3.1.2.21-RXN	PWY66-430 // PWY-5971
RXN-13504	PWY-7069 // RXN-13509
RXN0-7325	
RXN-8736	PWY-5479
1.14.12.18-RXN	PWY5F9-12
RXN-7858	PWY-5140
3.1.15.1-RXN	
RXN-18227	
RXN-18859	PWY-7914
RXN-11524	PWY-6539
RXN-23579	PWY-8408
RXN-24435	PWY-8505
RXN-3501	PWY-2002
RXN-18457	PWY-7904
RXN-10880	
METHIONINE-S-METHYLTRANSFERASE-RXN	PWY-6055 // PWY-6054 // PWY-5441
RXN-20349	PWY-8041
RXN-9131	PWY-5811
RXN-11711	PWY-6626
RXN-22836	PWY-8335
RXN-22141	PWY-8222
RXN-15069	
RXN-21890	
RXN-12575	PWY-6857
RXN-23291	PWY-8381
ALDOSE-1-EPIMERASE-RXN	PWY0-1466
RXN-10637	PWY-6271
RXN-18573	
CHLOROBENDDH-RXN	14DICHLORBENZDEG-PWY
RXN-4311	
RXN-17002	PWY-7708
GMKALT-RXN	PWY-7224
RXN-23981	PWY-8459
2.5.1.45-RXN	PWY-5907
RXN-23097	PWY-8361
RXN-9755	PWY-6053
RXN-9202	PWY-5843
RXN-8295	PWY-782
RXN1G-420	PWYG-321
2.1.1.145-RXN	
RXN-15944	PWY-5254
RXN-18593	PWY-7873
RXN-21285	
3.2.1.106-RXN	PWY-7918 // PWY-7919
RXN-16270	
RXN1G-218	PWYG-321
RXN-11478	PWY-6519
RXN-18218	
RXN-23752	PWY-8438
RXN-14194	PWY3DJ-11470
RXN-16033	PWY-8254 // PWY-7588
RXN-19412	
RXN-21328	PWY-8133
RXN-12184	PWY-6733
RXN-5641	PWY-3542 // PWY-7782 // PWY4FS-6 // PWY-3385
RXN-19273	PWY-7959
RXN-15429	PWY-7482
RXN-15026	PWY-7407
RXN-20344	PWY-8041
NITRITE-REDUCTASE-CYTOCHROME-RXN	PWY-7084 // P303-PWY // PWY-6523 // PWY-6748
RXN-9063	PWY-5775
BETA-L-ARABINOSIDASE-RXN	
RXN-15650	PWY-4361
RXN-19105	
RXN-8730	PWY-6362 // PWY-6364
RXN-13662	PWY-5140 // RXN-7852 // PWY-7105
RXN-13242	
RXN-13502	RXN-13508 // PWY-7068
RXNQT-4361	PWYQT-4477
RXN-4736	PWY-2881
RXN-21938	PWY-8206
RXN-13525	PWY-5748
RXN-24269	PWY-8484
RXN-13665	PWY-7105
RXN-15671	PWY-7535 // RXN-15673
RXN-13398	
RXN-15696	
RXN-21290	PWY-8127 // RXN-21287
RXN-10082	PWY-6185
RXN-13887	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY
RXN-13285	PWY-6105 // RXN-13752
RXN-22101	PWY-8212
RXN2B4Q-54	PWY2B4Q-6
3.2.1.32-RXN	PWY-6789
15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN	PWY-8397 // PWY66-374
RXN-11973	RXN-18856
PUTRESCINE-N-METHYLTRANSFERASE-RXN	PWY-5315
4.1.1.83-RXN	PWY-7514
RXN-14287	
RXN-20438	PWY18C3-1
RXN-16486	PWY-7647
RXN-20635	RXN-20641
RXN-17451	
RXN1G-1325	PWYG-321
RXN-20508	
RXN-8550	PWY-7102 // PWY-5425
RXN-11115	RXN-23942 // CYSTEINE--TRNA-LIGASE-RXN // PWY-8117 // RXN-23083 // RXN-23065 // RXN-23061 // PWY-7737 // RXN-21150 // RXN-21149 // PWY-7986 // PWY-6408 // RXN-19468 // RXN-19465 // RXN-19464
RXN-22868	
3.2.1.83-RXN	PWY-6821
RXN-10991	RXN-19448 // PWY-6374
RXN-6423	ORNDEG-PWY // PWY-6440 // PWY-2
RXN-21081	
2-NITROPHENOL-2-MONOOXYGENASE-RXN	PWY-5636
IMIDAZOLONEPROPIONASE-RXN	PWY-5030 // HISHP-PWY // PWY-5028 // HISDEG-PWY
RXN-11313	
RXN-22380	
RXN-13039	PWY-6984 // RXN0-1141
RXN-21988	PWY-8202
RXN-19496	PWY-7986
RXN-18633	PWY-7880
RXN-8267	PWY-5321
RXN-9453	PWY-5929
RXN-10948	
2.6.1.65-RXN	
RXN-17209	PWY-7742 // RXN-18535
RXN-13701	PWY-7114
RXN-9352	RXN-13194 // PWY-5887
RXN-23199	PWY-8374
RXN-13846	PWY-7150
RXN-9751	PWY-6051
RXN-21586	PWY-6675
RXN-8672	
RXN-11097	PWY-5940
RXN-12258	RXN-12224 // PWY-6767
RXN-23416	PWY-8397
RXN-20550	
RXN-16738	PWY-7673
RXN-19990	
FOLYLPOLYGLUTAMATESYNTH-RXN	PWY-2161
RXN-20716	
RXN-11645	RXN-18155 // RXN-18154 // PWY-6592 // PWY-6591
RXN-982	PWY-4621-1 // PWY-8264 // PWY-4621 // PWY-8263 // PWY-8259
RXN-13974	PWY-7449
RXN-8035	PWY-5176
RXN-24095	
RXN-20857	PWY-8081
RXN-12202	
RXN-9828	PWY-6076
RXN-8561	PWY-5733
RXN-9415	RXN-15255 // PWY-5923
RXN-19255	PWY-7954
RXN-24420	RXN-24422 // PWY-8503
RXN-23382	
PROGESTERONE-11-ALPHA-MONOOXYGENASE-RXN	
RXN-36	PWY-0
1.7.1.9-RXN	
RXN-10754	PWY-6312
RXN-13906	PWY-7161 // PWY-7157
RXN-13403	
RXN-20894	
RXN1G-377	PWYG-321
1.1.1.151-RXN	
RXN-12980	PWY-3041
D-RIBULOKIN-RXN	PWY-8334 // DARABCAT-PWY // RIBITOLUTIL-PWY
RXN-12469	
RXN-22977	
RXN-20290	PWY-8036
RXN-23679	
RXN-16444	
RXN-13856	PWY-8067
RXN-20194	PWY-8032
RXN-17583	PWY-7776
RXN-8576	PWY-3041
RXN-16677	PROSTAGLANDIN-ENDOPEROXIDE-SYNTHASE-RXN
4.3.1.4-RXN	PWY-5497 // P164-PWY // PWY-5030
HISTIDINE-DECARBOXYLASE-RXN	PWY-6173
RXN-6622	PWY-7559 // PWY-4041
RXN-8647	PWY-8397 // PWY66-392 // PWY66-375
RXN-15426	PWY-7746
RXN-14270	
RXN-21933	PWY-8236
RXN-16206	PWY-8400 // PWY-8355 // PWY66-397
RXN-13105	PWY-6998
RXN-24243	RXN-24250
RXN-19277	PWY-8483
RXN-8163	PWY-5283
RXN-20965	PWY-8103
FORMATETHFLIG-RXN	PWY-8480 // PWY-2161 // PWY-8303 // PWY-2201 // CODH-PWY // PWY-1722 // PWY-3841
RXN-15363	PWY-7462
RXN66-637	PWY-5994
RXN-12886	
RXN-14657	PWY-7298
RXN-20337	PWY-8041
RXN-19689	PWY-5774
RXN1F-166	PWY-5047
RXN-16398	PWY-1121 // PWY-321 // PWY-6733
RXN-11273	PWY-6449 // PWY-6437
RXN-14285	
RXN-20641	
RXN-8263	PWY-5320
RXN-8548	
RXN-18330	
ARYLAMINE-SULFOTRANSFERASE-RXN	
RXN-22599	PWY-7372
RXN-17420	
RXN-23043	PWY-8358
RXN-16783	PWY-7679
R17-RXN	PWY-5285 // P222-PWY
RXN-8149	PWY-5270
RXN-16815	PWY-7682
RXN-11611	PWY-6574
RXN-23243	RXN-22671
RXN-17580	PWY-7776
RXN-17825	PWY-7794
RXN-16123	
RXN-20430	PWY-8044
RXN-17336	RXN-17420 // PWY-7407
RXN-15233	PWY-7104 // PWY-7440
RXN-22499	PWY-8289
RXN-12495	
GLUTACONATE-COA-TRANSFERASE-RXN	
RXN-21129	PWY-8117
RXN-717	PWY-699
TRANS-CINNAMATE-2-MONOOXYGENASE-RXN	PWY-5176
RXN-11247	PWY-6438
RXN-4761	PWY-2904
RXN8J2-141	RXN8J2-157 // PWY8J2-23
CYTIKIN-RXN	PWY-5532 // PWY-7193
RXN-14125	
RXN-13794	PWY-7135
RXN-20959	PWY-6036
RXN-20728	PWY-7512
RXN-17236	PWY-7742
RXN-15066	PWY-7416
RXN-23814	
RXN-13782	
ANTHRANILATE-N-MALONYLTRANSFERASE-RXN	
L-THREONATE-3-DEHYDROGENASE-RXN	
4.2.2.22-RXN	
RXN-16708	PWY-7893
2.1.1.129-RXN	PWY-6738
RXN-23711	
RXN-9153	PWY-5822
RXN18C3-19	PWY18C3-5
RXN-18551	
RXN0-2044	PWY-8354 // PWY-8347 // PWY-1361 // PWY0-321
RXN-13792	PWY-7135
RXN-18351	
2.3.1.157-RXN	PWY0-1261 // UDPNAGSYN-PWY
RXN-17238	PWY-7742 // RXN-18537
RXN-16285	PWY-7626
RXN-18960	RXN-8189
RXN-10604	PWY-6260
RXN-19800	PWY-8152 // PWY-6944
RXN-19117	PWY-7934
RXN-20581	PWY66-393
RXN-8543	
ERYTHRONOLIDE-SYNTHASE-RXN	PWY-7106
RXN-9195	PWY-5843
RXN-17448	PWY-7759
RXN-20007	
RXN-11513	PWY-6538
RXN-9575	PWY-5975
RXN-11714	PWY-6627
RXN-12304	
LEUKOTRIENE-B4-20-MONOOXYGENASE-RXN	PWY-8397
RXN-11718	PWY-6627
RXN-4443	PWY-2724
RXN-9209	PWY-5846
6-OXOHEXANOATE-OXIDATION-RXN	P621-PWY // CYCLOHEXANOL-OXIDATION-PWY
RXN-4464	PWY-2724
RXN-20987	PWY-8098
RXN18C3-54	PWY18C3-21
RXN-17700	PWY-8351
LACTOSE6P-HYDROXY-RXN	LACTOSECAT-PWY
RXN-14437	RXN-14431
1.14.99.31-RXN	PWY-7656
RXN-23479	PWY-8399
3.3.2.9-RXN	
RXN-16407	PWY-6733
RXNQT-4168	
RXN2DNV-13	PWY2DNV-4
RXN-11905	
RXN-15077	PWY-7419
RXN-16443	PWY-7637
2.4.1.239-RXN	
RXN-1728	PWY-782
RXN-14705	PWY-7905
S-ALKYLCYSTEINE-LYASE-RXN	
RXN-21256	PWY-8122
RXN-17163	RXN-19730 // PWY-7736
RXN-22641	PWY-8318
RXN-91	PWY-83
DOLICHOL-O-ACYLTRANSFERASE-RXN	
RXN-19218	PWY-7951
RXN-20502	PWY-8051
RXN-19537	
RXN-15748	PWY-7542
PRODISULFREDUCT-A-RXN	PWY-7870 // RXN-19629 // GLUT-REDOX-PWY // PRODISULFREDUCT-RXN
RXN-16090	PWY-7599
RXN0-5414	PWY0-1609
ALKYLGLYCEROL-KINASE-RXN	
5.1.3.9-RXN	
RXN-18718	
RXN-18442	PWY-7857
RXN-13997	
3.2.1.61-RXN	
RXN-17133	
RXN-8089	
RXN-20789	PWY-8073
RXN-23320	PWY-8386
RXN-23093	PWY-8361
RXN-12833	
RXN-10031	PWY-6160
RXN-11587	PWY-6575
RXN-22439	RXN-22440
2.1.1.69-RXN	PWY-5365
FORMIMINOGLUTAMASE-RXN	HISDEG-PWY
RXN-17988	PWY-7812
KYNURENINE-3-MONOOXYGENASE-RXN	PWY-7765 // PWY-5651 // PWY-6309 // PWY-7717
RXN-8892	PWY-5679
RXN-14466	
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	PWY-6549 // PWY66-398 // PWY-5690
RXN-16119	PWY-6453
RXN-22129	PWY-8219
3-ACI-NITROPROPANOATE-OXIDASE-RXN	
RXN-21228	
RXN-22117	PWY-8216
RXN-12715	PWY-6944
RXN-21109	PWY-8117
RXN-20424	PWY-8040
AMP-DEPHOSPHORYLATION-RXN	SALVADEHYPOX-PWY
RXN-14583	RXN-14628
RXN-12721	PWY-6932
RXN-12297	PWY-6786
RXN-6724	PWY-6763 // PWY-6443 // PWY-6801 // PWY-4203
RXN-7568	PWY-5027
2.1.1.17-RXN	PWY-6825
1.3.99.18-RXN	
RXN-13437	
RXN-15073	
RXN-18908	PWY-7918 // PWY-7919
3.1.30.1-RXN	
RXN-7567	PWY-581 // PWY-5025
RXN-20578	RXN-23428 // PWY66-392
RXN0-6734	PWY0-1533 // PWY-7399
2.6.1.41-RXN	
RXN-22054	
RXN-9957	
RXN-23130	
RXN-13706	
RXN-10702	PWY-735
R123-RXN	P141-PWY
GMP-SYN-GLUT-RXN	PWY-7221
RXN-16666	PWY-7667
RXN-20050	PWY-6540 // RXN-20051
RXN-9086	PWY-5789 // PWY-5744 // PWY-5743 // RXN-8968
RXN-10780	PWY-6313
HYDROXY-MANDELATE-RACEMASE-RXN	4-HYDROXYMANDELATE-DEGRADATION-PWY
1.8.1.12-RXN	
RXN-17411	
RXN-15878	NONMEVIPP-PWY
RXN-1063	PWY-6453
RXN-16755	PWY-7677
RXN-8806	PWY-5534
RXN-11706	PWY-7032
IMIDAZOLEACETATE-4-MONOOXYGENASE-RXN	
RXN-12941	PWY-6976
RXN-14533	PWY-7312
RXN-16716	PWY-7671
RXN-18107	RXN-15434
RXN-4763	PWY-2904
RXN-12997	PWY-7724 // PWY-7619 // PWY-7602
RXN-17611	
RXN-16808	PWY-7682
RXN-12594	
RXN-13855	PWY-7151
RXN-8572	PWY-5425
RXN-8585	
RXN-10961	PWY-6368
RXN-21007	PWY-8104 // RXN-7575
RXN-18560	PWY-7027
RXN-9462	PWY-5936
RXN-12242	
RXN0-7160	
RXN-602	
RXN-17430	PWY-7760 // PWY-7758 // PWY-7759
RXN-18798	PWY-5296
NITROGENASE-FLAVODOXIN-RXN	PWY-7576
RXN-19735	
RXN-8051	PWY-5195 // RXN-13432
R546-RXN	PWY-6989 // P601-PWY
ALPHA-13-GLUCAN-SYNTHASE-RXN	
RXN-7772	PWY4FS-13 // PWY-5115 // PWY-882 // PWY4FS-12
RXN-24500	PWY-8515
RXN-8471	PWY-5398
RXN1G-645	PWYG-321
RXN-4444	PWY-2724
ATP-ADENYLYLTRANSFERASE-RXN	
RXN-24334	PWY-8496 // PWY-8492
RXN-19820	PWY-8008
RXN-7612	PWY-5045
RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN	PWY-8416
RXN-14590	
RXN-15865	PWY-8114 // RXN-15866
RXN-16313	PWY-7511 // RXN-16302
RXN-17810	
RXN-19702	
RXN-23747	PWY-8438
SUGAR-PHOSPHATASE-RXN	
RXN-10779	PWY-6313
RXN-15400	PWY-8382
ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN	PWY-6024
RXN-10833	PWY-7769 // PWY-6322
RXN-13771	PWY-7130
RXN-12754	PWY-6938-1 // PWY-6938
RXN-20781	PWY-8076
RXN-9184	PWY-5827
2.1.1.79-RXN	PWY0-541
RXN-15951	PWY-7571
RXN-12253	
RXN-19128	
RXN-17211	PWY-7742
RXN-23454	PWY-8396
RXN-21097	PWY-8116
RXN-18967	RXN-8190
RXN66-314	PWY-8026 // PWY66-341 // PWY-6074
RXN-10647	PWY-6279
RXN-9620	PWY-5987
RXN-6581	PWY1G-170
RXN-18288	
RXN-10135	PWY-6200
RXN-12549	PWY-6857 // PWY-6861 // PWY-6872 // PWY-6875
RXN-14971	TCA-1 // P105-PWY // PWY-6969 // PWY-7254 // PWY-5913 // PWY-6728 // PWY-561 // PWY-5690 // TCA
RXN-5103	PWY-3041
RXNQT-4362	PWYQT-4477
RXN-12103	PWY-7251
RXN-9418	RXN-15254 // PWY-5924
1.2.1.40-RXN	RXN-13690 // PWY-6061
L-ARABINOSE-1-DEHYDROGENASE-RXN	
RXN-9137	PWY-5815
RXN-8579	PWY-5429
RXN-15345	
RXN-23800	PWY-8443 // RXN-23807
RXN2DNV-25	PWY2DNV-5
TETRAHYDROBERBERINE-OXIDASE-RXN	PWY-3901
RXN18C3-58	PWY18C3-21 // PWY18C3-25
RXN-21910	
RXN-20487	PWY-8049 // RXN-20497
RXN-12448	
RXN-21645	PWY-8174
RXN-20616	
RXN-17625	PWY-5451 // RXN-17627
RXN-12598	PWY-6887
RXN-3945	PWY-8087
RXN-16024	PWY-7587
BIOTINIDASE-RXN	
HCAMULTI-RXN	HCAMHPDEG-PWY
RXN-19083	PWY-7930
RXN-13807	PWY-7138
RXN-23590	
RXN0-5234	
RXN18C3-112	
RXN-8715	PWY-5474
RXN-4545	PWY-2781
RXN-19114	
RXN-13367	PWY-7042
RXN-18068	PWY-7821
RXN-12092	PWY-5365
PYRUVDEH-RXN	PWY-5482 // PWY-5537 // GLYCOLYSIS-TCA-GLYOX-BYPASS // PWY-7384 // PWY-7218 // PWY-6886
RXN-17608	
6-PHOSPHO-BETA-GALACTOSIDASE-RXN	
RXN1G-3993	PWYG-321
RXN-11307	PWY-6462
CHLOROPHYLLASE-RXN	
RXN-15282	PWY-6585
RXN-19634	
PNP-RXN	
RXN-20477	PWY-8047
DIHYDROPYRIMIDINASE-RXN	PWY-3982
RIBOSYLHOMOCYSTEINASE-RXN	PWY-I9 // PWY-6151 // PWY-6154 // PWY-6153
RXN-7961	
RXN-21997	
RXN-17775	PWY0-1337
RXN-21570	PWY-8454
RXN-9613	PWY-5985
RXN-14879	PWY-7363
RXN-24104	
1.3.99.16-RXN	
RXN-15271	PWY-7434
RXN-16254	PWY-7624
RXN-15456	PWY-6633
RXN-4521	PWY-5290
RXN-9360	PWY-5892
RXN-5442	PWY-3162
RXN0-7343	PWY-8243
RXN-21485	PWY-8155
RXN-18331	
RXN-18529	PWY-7868
RXN-14399	PWY-6349
RXN-8289	PWY-5320 // PWY-5348
RXN-21244	
RXN-22687	PWY-8323
RXN-14815	
RXN-20759	PWY-8071
RXN-24482	
RXN-12581	PWY-6872
RXN-5242	PWY-7070 // PWY-5034 // RXN-13190 // PWY-5047
2.7.7.39-RXN	PWY-7815 // TEICHOICACID-PWY // PWY-7819 // PWY-7816 // PWY-8430 // PWY-8248
RXN-19750	
1.12.5.1-RXN	
RXN-11259	PWY-6442
RXN-8702	PWY-5472
SERINE-PHOSPHOETHANOLAMINE-SYNTHASE-RXN	
NAG1P-URIDYLTRANS-RXN	PWY0-1261 // PWY-5514 // UDPNACETYLGALSYN-PWY // UDPNAGSYN-PWY
RXN-11248	PWY-6438
RXN-17210	PWY-7742 // RXN-18535
3.2.1.74-RXN	
MALTODEXGLUCOSID-RXN	
RXN1G-1015	PWYG-321
RXN-4207	PWY-2561
RXN-23181	PWY-8371
RXN-24419	RXN-24422 // PWY-8503
LINB1-RXN	GAMMAHEXCHLORDEG-PWY
XYLITOL-KINASE-RXN	
RXN1G-364	PWYG-321
RXN-15934	PWY-7569
RXN-18996	
RXN-16002	RXN-16008 // RXN-16003
RXN-18372	
RXN-21819	
RR-BUTANEDIOL-DEHYDROGENASE-RXN	PWY3O-246 // PWY-5951
RXN-17421	PWY-7757
RXN-6267	PWY-5679
RXN-15291	PWY-7445
RXN-23269	
RXN-18791	
R423-RXN	P481-PWY
RXN-15498	PWY-7492
RXN-9989	PWY-6138
RXN-16400	PWY-1121 // PWY-321 // PWY-6733
RXN-5763	PWY-3542
ALANINE-AMINOTRANSFERASE-RXN	PWY-7383 // PWY-8188 // PWY-8189 // PWY-7117 // PWY-7115 // ALACAT2-PWY // ALANINE-DEG3-PWY // ALANINE-SYN2-PWY
RXN-16452	
2.4.1.38-RXN	PWY-7837 // PWY-7434 // PWY-7831 // PWY-7833
RXN-18152	PWY-7826
RXN-13404	
TRNA-ADENINE-N6--METHYLTRANSFERASE-RXN	
RXN-10785	PWY-6423
R307-RXN	PWY-7773
DCMP-DEAMINASE-RXN	PWY-7210
RXN-16482	
RXN-18909	PWY-7918 // PWY-7919
RXN-19664	
6.3.2.30-RXN	PWY-7052
RXN-14340	
RXN-11196	
RXN0-5226	PWY-7883 // PWY0-1261
RXN-9658	PWY1A0-6120 // PWY-5971
RXN-16720	PWY-7672
RXN-12342	
ATP-DEAMINASE-RXN	
RXN-23568	PWY-8411
RXN-10877	PWY-6334
RXN-12256	PWY-6766
RXN8J2-173	PWY-8489
RXN-15985	PWY-5915 // PWY-7579 // PWY-7580
RXN-14816	
RXN-16674	PWY-7668
RXN-4512	PWY-2762
RXN-23554	PWY-8407
RXN-4803	PWY-2921 // RXN-11908
RXN-1349	PWY-5410
2.8.2.32-RXN	
RXN-9048	PWY-5773
RXN-9138	PWY-5816
4.1.1.74-RXN	TRPIAACAT-PWY // PWY-5081
RXN-7826	
RXN-19505	PWY-7988
CALCIDIOL-1-MONOOXYGENASE-RXN	PWY-6076
RXN-18829	PWY-7911 // RXN-18834
RXN-8411	PWY-5373
RXN-15128	CYSTHIOCYS-RXN
RXN-17136	
R306-RXN	P342-PWY
RXN-13114	PWY-6999
RXN-21638	PWY-8173
RXN-21664	PWY-8174
RXN-10675	RXN-19494 // PWY-6289
RXN185E-57	PWY185E-7
RXN-24283	PWY-8486
RXN-11446	
RXN-20469	PWY-8047
RXN-1781	PWY-822
RXN-4310	PWY-2681
RXN-9465	
RXN-9556	PWY-5973
RXN-20063	PWY-8025
2.4.1.220-RXN	PWY-6068
RXN-17940	PWY-6689 // RXN-12056
RXN-8329	PWY-762
RXN-20523	PWY-8052
RXN-23189	PWY-8372
THREODEHYD-RXN	PWY-7378 // THRDLCTCAT-PWY // RXN-14249 // THREONINE-DEG2-PWY
RXN-19700	PWY-5672
PANTOATE-BETA-ALANINE-LIG-RXN	PANTO-PWY
RXN-16006	PWY-7581
RXN-9979	PWY-6133
RXN-24117	
3-ISOPROPYLMALDEHYDROG-RXN	LEUSYN-PWY // PWY-6871 // RXN-13158
RXN-22051	
RXN-13205	PWY-7016
1.5.3.12-RXN	PWY-5287
RXN-15545	PWY-7510
RXN-9364	PWY-5893
RXN-17043	PWY-7712
2.4.1.240-RXN	
RXN-22335	PWY-4202 // RXN-22403 // PWY-4621 // PWY-8266 // 2.1.1.137-RXN
RXN-23292	
RXN-11843	
RXN-14442	PWY-7260
RXN-22248	PWY-8246
RXN-20060	
RXN-17519	
RXN-12889	RXN-13225
PSYCHOSINE-SULFOTRANSFERASE-RXN	
N-ACETYLNEURAMINATE-SYNTHASE-RXN	PWY-6139
CHMS-DEHYDROGENASE-RXN	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY
RXN-17878	PWY-7800
RXNQT-4309	PWYQT-4471
RXN-15338	PWYG-321
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	
RXN-12059	
RXN-8422	PWY-5725
RXN-13221	PWY-7022
RXN-15806	PWY-7554
RXN1G-4141	PWYG-321
ADENYLYLSULFATASE-RXN	
RXN-17997	
RXN-11652	PWY-6581
RXN-9045	PWY-5773
RXN-11134	RXN-14618
RXN-11426	PWYQT-4474 // RXN-18163
RXN-14582	RXN-14628 // RXN-14627
2.1.3.9-RXN	PWY-5154
RXN-16007	RXN-16008
RXN-23533	PWY-8408 // PWY-8409
RXN-17962	
