Pathways	Reactions of pathway
PWY-3161	RXNN-404 // TRYPTOPHAN-2-MONOOXYGENASE-RXN
PWY-8078	RXN-20799 // MYO-INOSITOL-3-O-METHYLTRANSFERASE-RXN
PWY-5993	RXN-20302 // RXN-20273 // RXN-20248 // RXN-20247 // RXN-20245 // RXN-20244 // RXN-20243 // RXN-9612 // RXN-9611 // RXN-9610 // RXN-9609 // RXN-9605 // RXN-9604 // RXN-9602 // RXN-9594 // RXN-9587 // RXN-9586 // RXN-9585 // RXN-9584 // RXN-9583 // RXN-9582 // RXN-9581 // RXN-9580 // RXN-9579 // RXN-9578
PWY-8049	RXN-20500 // RXN-20499 // RXN-20498 // RXN-20495 // RXN-20494 // RXN-20493 // RXN-20492 // RXN-20491 // RXN-20490 // RXN-20489 // RXN-20488 // RXN-20487 // RXN-20486 // RXN-20485
PWY-8303	ACETATE--COA-LIGASE-RXN // ACETATEKIN-RXN // METHYLENETHFDEHYDROG-NADP-RXN // PYRUFLAVREDUCT-RXN // RXN-7566 // GCVMULTI-RXN // METHENYLTHFCYCLOHYDRO-RXN // FORMATETHFLIG-RXN // 1.2.2.3-RXN
PWY-8455	RXN-23884 // RXN-23881 // RXN-23882 // RXN-23880
PWY-8231	RXN-22165 // RXN-22164 // RXN-22163 // GLCNACPTRANS-RXN // RXN-14572 // RXN-14560 // RXN-14561 // RXN-14562
PWY-5533	6.4.1.6-RXN
PWY-7693	RXN-20452 // RXN-16913 // RXN-16912 // RXN-16909 // RXN-16910 // RXN-14196 // GLYCINE-AMIDINOTRANSFERASE-RXN // RXN-16906 // RXN-16907 // RXN-16908 // RXN-16902 // RXN-16901 // RXN-16900
PWY-6854	RXN-14960 // SUPEROX-DISMUT-RXN // FERRIC-CHELATE-REDUCTASE-RXN // RXN-12541 // RXN-12540 // RXN-12539 // R15-RXN
PWY-6640	GENTISATE-12-DIOXYGENASE-RXN // RXN-11741 // RXN-11740 // RXN-11739 // RXN-11113
PWY0-301	RXN0-2461 // RXN0-5214 // RIBULPEPIM-RXN // RXN0-705 // LXULRU5P-RXN
PWY-7128	MALEATE-ISOMERASE-RXN // RXN-646 // RXN-11318 // 1.13.11.9-RXN // RXN-16530 // RXN-16529 // RXN-16527 // RXN-16526 // RXN-13081 // NICOTINE-DEHYDROGENASE-RXN
PWY-6426	3.5.1.95-RXN // BARBITURASE-RXN // URACIL-DEHYDROGENASE-RXN
PWY-5839	RXN-9191 // RXN-9190
PWY-5961	RXN-9503 // RXN-9502 // RXN-9501 // RXN-9500 // RXN-9499 // RXN-9498 // RXN-9497 // 2.1.1.110-RXN // RXN-21582 // RXN-21581 // RXN-21578 // RXN-21576 // RXN-21577 // RXN-21575 // RXN-21574 // 2.1.1.109-RXN // RXN-9495 // RXN-9491 // RXN-9490 // RXN-9493 // RXN-9492 // RXN-9489 // RXN-9494 // RXN-9488 // RXN-9487 // RXN-9486 // RXN-11624 // RXN-9485 // RXN-9484 // RXN-9483 // RXN-9482 // RXN-9481 // RXN-9480 // RXN-9479
PWY-8084	RXN-18836 // RXN-20901 // RXN-20875
PWY-6456	RXN-11306 // RXN-11305
PWY-7721	RXN-17086 // RXN-17085 // FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN
PWY-7456	3.2.1.78-RXN // RXN-15202 // MANNPISOM-RXN // PHOSMANMUT-RXN // RXN-12977 // RXN-15344 // 3.2.1.100-RXN
PWY6666-2	RXN6666-9 // RXN6666-7 // RXN6666-6 // RXN6666-5 // RXN6666-4
PWY-8034	RXN-20207 // RXN-20238 // RXN-20237 // RXN-20236 // RXN-20234 // RXN-20202
PWY-7625	2.7.8.11-RXN
PWY-7755	RXN-17409 // RXN-17397 // RXN-17396 // 1.1.1.52-RXN
PWY-2421	RXN-20920 // RXN-14711 // RXN-3941
PWY-5370	R525-RXN // RXN-8410 // R527-RXN // R526-RXN
PWY-7907	RXN-19486 // RXN-19484 // RXN-18810 // RXN-18809 // RXN-18808 // RXN-18807 // RXN-18803 // RXN-17190 // RXN-18804 // RXN-18805
PWY-7905	RXN-22100 // RXN-14705 // RXN-14706 // RXN-18776 // RXN-18775 // RXN-18774 // RXN-18773 // RXN-18772 // RXN-18771 // GLCNACPTRANS-RXN
SERDEG-PWY	RXN-15127 // RXN-15124 // RXN-15125
PWY-5178	RXN-8527 // RXN-8529 // 4.1.1.77-RXN // ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN // BENZOATE-12-DIOXYGENASE-RXN // 1.3.1.25-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // BENZYL-ALC-DEHYDROGENASE-RXN // TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN
PWY-7318	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-14735 // RXN-12810 // RXN-12840
PWY-7184	THYMIDYLATESYN-RXN // RXN-12195 // CDPREDUCT-RXN // UDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DUTP-PYROP-RXN // DUDPKIN-RXN // DCDPKIN-RXN
PWY-6700	RXN-12104 // RXN0-1342 // RXN0-1321 // RXN0-4022
PWY-8493	RXN-24346 // RXN-24345 // RXN-24344 // RXN-24343 // RXN-24342 // RXN3O-4157
PWY-2781	RXN0-6274 // RXN-4545 // RXN-4541 // RXN-4542 // RXN-4544
PWY-5936	RXN-12419 // RXN-12418 // RXN-12415 // RXN-9462 // RXN-9463 // RXN-9461
PWY-7354	RXN-17998 // RXN-14875 // RXN-14874 // RXN-14688 // RXN-14689 // RXN-14851 // RXN-14852 // RXN-14853 // RXN-14854 // RXN-14818 // RXN-14844 // RXN-14831 // RXN-14846
PWY-8319	RXN-22957 // RXN-22956 // RXN-22655 // RXN-22650 // RXN-22649 // RXN-22648 // RXN-17943 // RXN0-6435 // RXN-22647 // RXN-22646
PWY2G6Z-2	RXN-23223 // RXN-23222 // RXN-23221 // RXN-23220 // RXN-23219 // RXN2G6Z-1
PWY-581	RXN-19838 // RXNDQC-2 // RXN-12063 // RXN-12062 // RXN-12061 // RXN-7567 // RXNN-404 // RXN-1406 // RXN-1405 // RXN-1404 // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN // TRYPTOPHAN-AMINOTRANSFERASE-RXN
PWY-5358	RXN-8358
PWY-6015	RXN-4981 // VITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN // RXN-9705 // RXN-9704
PWY-723	RXN0-6377 // 2-NITROPROPANE-DIOXYGENASE-RXN
PWY-2345	RXN-3581 // RXN-3590 // RXN-3592 // RXN-3583
PWY-5474	RXN-8715 // RXN-8714 // RXN-8713 // TYRAMINE-N-FERULOYLTRANSFERASE-RXN // TYROSINE-DECARBOXYLASE-RXN
PWY-1881	1.2.1.2-RXN
PWY-1622	GLYOHMETRANS-RXN // MALATE-DEH-RXN // RXN-2881 // SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN // GKI-RXN // RXN-2802 // HYDROXYPYRUVATE-REDUCTASE-RXN // 2PGADEHYDRAT-RXN // RXN-15513 // PEPCARBOX-RXN // MALATE--COA-LIGASE-RXN // MALYL-COA-LYASE-RXN
PWY-5756	RXN-9007 // RXN-9006 // RXN-9008 // RXN-9005 // RXN-9004 // RXN-9001 // RXN-9002 // RXN-9000
PWY-5748	RXN-13523 // RXN-13527 // RXN-13524 // RXN-13526 // RXN-13525 // RXN-8983 // RXN-8982 // RXN-8981
PWY66-428	RXN-7790 // THREDEHYD-RXN
PWY-7189	RXN-14085 // RXN-14088 // RXN-14087 // RXN-14084 // RXN-14083
PWY18C3-12	RXN18C3-41 // RXN18C3-40 // RXN18C3-37 // RXN18C3-36 // RXN18C3-49 // RXN18C3-48 // RXN18C3-47 // RXN18C3-39 // RXN18C3-38 // RXN18C3-35 // RXN18C3-34 // RXN18C3-31 // RXN18C3-33 // RXN18C3-32 // RXN18C3-30 // RXN18C3-29 // RXN18C3-28 // RXN18C3-27 // RXN18C3-26 // RXN18C3-25 // RXN18C3-24
PWY-7209	URPHOS-RXN // CYTIDEAM2-RXN // BETA-UREIDOPROPIONASE-RXN // DIHYDROPYRIMIDINASE-RXN // 1.3.1.2-RXN
PWY-7102	RXN-8429 // RXN-8549 // RXN-8550 // FPPSYN-RXN // IPPISOM-RXN // GPPSYN-RXN
PWY-8075	RXN-20796 // RXN-20795 // RXN-20794 // RXN-20793 // RXN-20792
PWY-5506	CATAL-RXN // METHANOL-OXIDASE-RXN
PWY-7423	RXN-15114 // RXN-15113 // RXN-15112
PWY-8489	RXN8J2-184 // RXN8J2-183 // RXN8J2-182 // RXN8J2-181 // RXN8J2-180 // RXN8J2-179 // RXN8J2-178 // RXN8J2-177 // RXN8J2-176 // RXN8J2-175 // RXN8J2-174 // RXN8J2-173 // RXN8J2-172 // RXN8J2-171 // RXN8J2-170 // RXN8J2-169 // RXN8J2-168 // RXN8J2-167 // RXN8J2-166 // RXN8J2-165 // RXN8J2-162 // RXN8J2-163
PWY-6976	RXN-12404 // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12942 // RXN-12941 // RXN-12940 // RXN-12935
PWY-8269	RXN-22372
PWY-6805	RXN-14888 // RXN-14887
PWY185E-7	RXN185E-59 // RXN185E-58 // RXN185E-57 // RXN185E-56 // RXN185E-55
PWY-6109	RXN-8434 // CYCLOARTENOL-SYNTHASE-RXN // RXN-9915 // RXN-111 // RXN-9916 // RXN-7570
PWY-7558	RXN-15836
TOLSULFDEG-PWY	4-SULFOBENZOATE-34-DIOXYGENASE-RXN // SYDDEHYD-RXN // SOLDEHYD-RXN // TSMOS-RXN
PWY-7857	RXN-18452 // RXN-18448 // RXN-18439 // RXN-18442 // RXN-18445 // RXN-18450
PWY-7032	ACYLACPSYNTH-RXN // RXN-11706 // RXN-13262
PWY-6673	2.3.1.98-RXN // RXN-2622 // RXN-1126
2ASDEG-PWY	4.1.1.77-RXN // RXN-8529 // 3SC23OSPON-RXN // 3SC23OALCAL-RXN // 2ASDOSALCAL-RXN
PWY-8162	RXN-21540 // PHENDEHYD-RXN
SALVPURINE2-PWY	XANTHOSINEPHOSPHORY-RXN // XANPRIBOSYLTRAN-RXN
PWY-8262	RXN-22357 // RXN-22356 // RXN-22355 // RXN-22354
PWY-7300	RXN-18799 // RXN-16379 // RXN-14683 // RXN-14682 // RXN-14681 // RXN-14680 // RXN-14679 // RXN-14678 // RXN-14677 // RXN-14676 // RXN-14675 // RXN-14674
PWY-5196	DIMETHUROPORDEHYDROG-RXN // RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // RXN-8063 // RXN-8061 // RXN-8060 // RXN-8059
PWY-6662	RXN-17704 // ANTHRANSYN-RXN // RXN-17709 // RXN-17708 // RXN-17707 // RXN-17705 // RXN-17703 // RXN-17702 // RXN-11849 // AMINOBENZCOALIG-RXN
PWY-7618	RXN-19426 // RXN-19425 // PHOSPHATIDYLCHOLINE-12-MONOOXYGENASE-RXN
PWY-7118	ACETATE--COA-LIGASE-RXN // 1.1.1.39-RXN // MALSYN-RXN // CHITIN-DEACETYLASE-RXN
PWY-6794	2.7.7.51-RXN
PEPTIDOGLYCANSYN-PWY	RXN-16650 // TRANS-RXN0-286 // DALADALALIG-RXN // UDP-NACMURALGLDAPLIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDP-NACMURALGLDAPAALIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // PHOSNACMURPENTATRANS-RXN // NACGLCTRANS-RXN
PWY-6533	RXN-15248 // RXN-15251 // RXN-15250 // RXN-15249 // RXN-14637
PWY-6899	RXN-12613 // RXN-12612
ANAEROFRUCAT-PWY	3PGAREARR-RXN // GLUCOKIN-RXN // PGLUCISOM-RXN // RXN-15513 // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN // L-LACTATE-DEHYDROGENASE-RXN
PWY-6342	RXN-10906 // RXN-10913 // RXN-10909 // RXN-10910 // RXN-10916 // RXN-10912 // RXN-10908 // RXN66-241 // RXN-10917 // RXN-10915 // RXN-10914 // RXN-10911 // RXN-10907
PWY-7155	RXN-13896 // RXN-13895 // RXN-13891 // RXN-13892 // RXN-13893 // RXN-13894
PWY-8260	3.6.3.16-RXN // RXN-21021
PWY-8007	RXN-19818 // RXN-19817 // RXN-19816
PWY-6098	RXN-4961 // 5.4.99.17-RXN
PWY-8055	RXN-20516 // RXN-20568 // RXN-20567 // RXN-20566 // RXN-20565 // RXN-20564
PWY-5738	GDPMANDEHYDRA-RXN // GDP-6-DEOXY-D-TALOSE-4-DEHYDROGENASE-RXN
PWY-8241	RXN-22209 // RXN-22208 // RXN-21944 // RXN-21945 // GLCNACPTRANS-RXN // RXN-14572 // RXN-15659
PWY-6483	RXN-11377 // RXN-11376 // RXN-11375
PWY-7815	RXN-18030 // RXN-18029 // RXN-18018 // RXN-18017 // RXN-18016 // RXN-18015 // RXN-18014 // RXN-18013 // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN
PWY-5355	NITROETHANE-OXIDASE-RXN
PWY-5782	RXN-9069 // RXN-8779 // RXN-8782 // D-SORBITOL-DEHYDROGENASE-RXN
PWY-5427	RXNN-386 // 1.2.1.65-RXN // RXN-8615 // RXN-8612 // 1.3.1.29-RXN // NAPHTHALENE-12-DIOXYGENASE-RXN
PWY-7366	RXN-10807
PWY0-1517	SEDOBISALDOL-RXN // RXN0-6541
PWY-6409	RXN-20774 // RXN-20773 // RXN-20772 // TRANS-RXN-389 // RXN-16727 // RXN-20771 // RXN-11129 // RXN-11128 // RXN-11127 // R101-RXN // RXN-11126
PWY-2464	RXN-13700 // RXN-3762 // RXN-3768 // RXN-3766 // RXN-3765 // RXN-3763
PWY-6894	RXN-12611 // THI-P-KIN-RXN
LIPA-CORESYN-PWY	RXN-22463 // RXN-22462 // RXN-22461 // RXN0-5127 // RXN0-5126 // RXN0-5125 // RXN0-5124 // RXN0-5123 // RXN0-5061 // RXN0-5118
PWY-5114	UDPGLUCEPIM-RXN // RXN-7770 // UDP-GLUCURONATE-4-EPIMERASE-RXN // UGD-RXN // UDP-GLUCURONATE-DECARBOXYLASE-RXN // UDP-ARABINOSE-4-EPIMERASE-RXN // RXN-18332 // RXN-10740 // UDP-GLUCOSE-46-DEHYDRATASE-RXN
PWY-2762	RXN-4513 // RXN-4512 // RXN-4510 // RXN-4511 // RXN-4509
PWY-5924	RXN-9948 // RXN-9423 // RXN-9418 // RXN-9416 // RXN-9413 // RXN-9411 // RXN-9409
PWY-6969	RXN-14971 // MALATE-DEH-RXN // SUCCCOASYN-RXN // 2-OXOGLUTARATE-SYNTHASE-RXN // ISOCITDEH-RXN // FUMHYDR-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN
PWY-8117	RXN-23364 // RXN-21153 // RXN-21152 // TRANS-RXN-393 // RXN-21151 // RXN-21101 // RXN-21102 // RXN-21131 // RXN-21130 // RXN-21129 // RXN-21127 // RXN-21128 // RXN-21126 // RXN-21125 // RXN-21124 // RXN-21123 // ENTF-RXN // RXN-21122 // RXN-21121 // RXN-11115 // RXN-21118 // RXN-21120 // RXN-9376 // RXN-21117 // RXN-21119 // RXN-21116 // RXN-21115 // RXN-21114 // RXN-21112 // RXN-21111 // RXN-21110 // RXN-21109 // RXN-21108 // RXN-17190 // RXN-21104 // RXN-21105 // RXN-21106 // RXN-21107
PWY-3385	RXN-5647 // RXN-5643 // RXN-5642 // 2.1.1.103-RXN // ETHANOLAMINE-KINASE-RXN // RXN-5641
PWY-6520	RXN-11486
PWY-6064	RXN-8262 // QUERCETIN-3-O-METHYLTRANSFERASE-RXN
PWY-7976	RXN-14537
PWY2G6Z-4	RXN2G6Z-24 // RXN2G6Z-23 // RXN2G6Z-25
PWY-7788	RXN-17763 // RXN-17762 // RXN-17761
PWY-5910	FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN // GPPSYN-RXN // IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-5292	RXN-24462 // RXN-20001 // RXN-19985 // RXN-19983 // RXN-19978 // RXN-19977 // RXN-19975 // RXN-19974 // RXN-19973 // RXN-19972 // RXN-19971 // RXN-18625 // RXN-18624 // RXN-18623 // RXN-18622 // RXN-18621 // RXN-18615 // RXN-18618 // RXN-18616 // RXN-12023 // RXN-8201 // 2.3.1.107-RXN // 1.14.11.20-RXN // 2.1.1.99-RXN // 2.1.1.94-RXN // 1.14.13.73-RXN
TRPIAACAT-PWY	INDOLE-3-ACETALDEHYDE-OXIDASE-RXN // 4.1.1.74-RXN // TRYPTOPHAN-AMINOTRANSFERASE-RXN
PWY3O-440	RXN-6161 // RXN3O-470 // RXN0-2022
PWY-5386	RXN-20917 // GLYOXII-RXN // GLYOXI-RXN
PWY-7894	PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN // 1.14.11.2-RXN // 3.2.1.107-RXN // PROCOLLAGEN-GLUCOSYLTRANSFERASE-RXN // PROCOLLAGEN-GALACTOSYLTRANSFERASE-RXN // PROCOLLAGEN-LYSINE-5-DIOXYGENASE-RXN
PWY-5306	RXN-17804 // RXN-17803 // RXN-23217 // RXN-23218 // SULFATE-ADENYLYLTRANS-RXN // RXN-8202
PWY-5024	RXN-7565 // RXN-7564
PWY-5359	RXN-8362
PWY-6913	RXN-12646
CENTFERM-PWY	RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // BUTYRATE-KINASE-RXN // PHOSPHATE-BUTYRYLTRANSFERASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7468	RXN-11660
PWY-6807	RXN-12401 // RXN-19379 // RXN-19378 // RXN-12402 // RXN-12400 // RXN-12399 // RXN-12398 // 3.2.1.120-RXN
PWY-7570	RXN-14065 // RXN-15939 // RXN-15935 // RXN-15936 // RXN-15937 // RXN-15938 // RXN-15929 // RXN-15928 // RXN-15927 // RXN-15930
P283-PWY	RXN0-4141
PWY-8518	RXN-24521 // RXN-24522 // RXN-24523 // RXN-24524
PWY-7515	PYRROLINE-2-CARBOXYLATE-REDUCTASE-RXN // TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN
PWY-5951	RR-BUTANEDIOL-DEHYDROGENASE-RXN
PWY-7472	CARNRACE-RXN // CARNITINE-3-DEHYDROGENASE-RXN
GLNSYN-PWY	GLUTAMINESYN-RXN
PWY-7100	RXN-23114 // RXN-23113 // RXN-23112 // RXN-23111 // RXN-23110 // RXN-23109 // RXN-23108 // RXN-23107 // RXN-23106 // RXN-23105 // RXN-23104 // RXN-23103 // RXN-23102 // RXN-13634 // RXN-13633 // RXN-13632 // RXN-13631 // RXN-13630 // RXN-13629 // RXN-13628 // RXN-13627 // RXN-13626
PWY3O-4108	TYROSINE-AMINOTRANSFERASE-RXN // RXN3O-4157 // RXN3O-4113 // 4.1.1.80-RXN
PWY-5310	RXN-8178 // RXN-8235 // RXN-8234 // RXN-8233 // RXN-8232 // RXN-8231 // RXN-8228 // RXN-8209 // RXN-8208 // RXN-8206
PWY-6494	RXN-11393 // RXN-11391 // RXN-11392 // RXN-11388 // RXN-11385 // RXN-11387
PWY-7621	RXN-16242 // RXN-16240 // RXN-16241
PWYQT-4477	RXN-19576 // RXN-19574 // RXN-2163 // RXN-2162 // RXN-1444 // RXNQT-4350 // RXNQT-4363 // RXNQT-4364 // RXNQT-4362 // RXNQT-4361 // RXNQT-4360 // RXNQT-4359
PWY-7346	UGD-RXN
COBALSYN-PWY	RXN-19343 // RXN-19338 // RXN-19342 // COBALAMIN5PSYN-RXN // RXN-8770 // DMBPPRIBOSYLTRANS-RXN // COBINAMIDEKIN-RXN // COBINPGUANYLYLTRANS-RXN
PWY-5265	RXN-22558 // RXN-20088 // RXN-11297 // RXN-11296 // RXN-11295 // RXN-11291 // RXN-11065 // 6.3.2.10-RXN // 6.3.2.7-RXN // DALADALALIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // RXN-8976 // RXN-8975
PWY-8000	RXN-19685 // RXN-19683 // RXN-19682 // RXN-15395 // RXN-19681 // RXN-19680 // RXN-19678 // RXN-19679 // RXN-19675 // RXN-19674 // RXN-19673
PWY-5885	RXN-7904 // RXN-13293 // 2.3.1.75-RXN // RXN-13273
PWY-6861	RXN-12549 // RXN-12578 // RXN-12556 // RXN-12555 // RXN-10841 // RXN-12553 // RXN-12552 // RXN-12546 // RXN-12551 // 2.3.1.135-RXN // RXN-12550 // RXN-12548
PWY-5994	RXN-21717 // RXN66-644 // RXN66-643 // RXN66-642 // RXN66-641 // RXN66-640 // RXN66-639 // RXN66-638 // RXN66-637 // RXN66-636 // RXN66-635 // RXN66-634 // RXN66-633 // RXN66-632 // RXN66-631 // RXN66-630 // RXN66-629 // RXN66-628 // RXN66-627 // RXN66-626 // RXN66-625 // RXN66-624 // RXN66-623 // RXN66-622 // RXN66-621 // RXN66-620 // RXN66-619 // RXN66-618 // RXN66-617 // RXN66-616 // RXN66-614
PWY-5361	RXN-8372
PWY-8232	RXN-22171 // RXN-22170 // RXN-22166 // RXN-22167 // RXN-22168 // RXN-22169 // GLCNACPTRANS-RXN // RXN-14572
ILEUDEG-PWY	2-METHYLACYL-COA-DEHYDROGENASE-RXN // 2KETO-3METHYLVALERATE-RXN // METHYLACETOACETYLCOATHIOL-RXN // TIGLYLCOA-HYDROXY-RXN // 1.1.1.178-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN
GLUAMCAT-PWY	NAG6PDEACET-RXN // GLUCOSAMINE-6-P-DEAMIN-RXN
PWY8J2-22	RXN8J2-136 // RXN8J2-137 // RXN8J2-138
PWY-5672	RXN-19701 // RXN-19706 // RXN-19705 // RXN-19700 // RXN-19699 // RXN-19698 // RXN-19697 // RXN-19696 // RXN-19695 // RXN-14979 // RXN-14978 // RXN-14976 // RXN-13509 // RXN-7570 // RXN-14975 // RXN-8887 // RXN-8885
PWY-5453	RXN-8632 // RXN0-4281
PWY-5295	RXN-8209 // RXN-8208 // RXN-8206
PWY-6214	4.1.1.77-RXN // RXN-8529 // RXN-10420 // RXN-10419
PWY-5032	4.2.3.19-RXN // 5.5.1.13-RXN
PWY-5272	RXN-11469 // RXN-8155
PWY-6038	CITRYLY-RXN // CITTRANS-RXN
PWY-7140	RXN-13823 // RXN-13822
PWY-5691	3.5.2.17-RXN // RXN-6201 // URATE-OXIDASE-RXN
GLYCINE-SYN2-PWY	RXN-8629 // GCVT-RXN // GCVP-RXN
PWY66-381	TRANS-RXN-420 // RXN66-355 // RXN66-356 // RXN66-357
FUC-RHAMCAT-PWY	LACTALDREDUCT-RXN // LACTALDDEHYDROG-RXN // L-LACTDEHYDROGFMN-RXN // RXN0-5306 // RXN-15356 // RHAMNISOM-RXN // RHAMNULOKIN-RXN // RHAMNULPALDOL-RXN // RXN0-5298 // FUCISOM-RXN // FUCULOKIN-RXN // FUCPALDOL-RXN
PWY-8363	GLY3KIN-RXN // RXN0-7229 // GLYOHMETRANS-RXN // GCVMULTI-RXN // SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // GLYCERATE-DEHYDROGENASE-RXN // GLYCINE-AMINOTRANSFERASE-RXN // GPH-RXN // RXN-961
PWY-7620	RXN-16239 // RXN-15001 // RXN-15000 // RXN-14999
PWY-6441	RXN-9015 // RXN-12089
PWY-7937	RXN-19127 // RXN-19086 // RXN-19088 // RXN-19087 // RXN-19085
PWY0-781	S-ADENMETSYN-RXN // L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN // CYSTATHIONINE-BETA-LYASE-RXN // HOMOCYSMETB12-RXN // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN // RXN-14014 // DIHYDRODIPICSYN-RXN // TETHYDPICSUCC-RXN // SUCCINYLDIAMINOPIMTRANS-RXN // SUCCDIAMINOPIMDESUCC-RXN // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // ASPAMINOTRANS-RXN
PWY-8110	RXN-21082 // RXN66-221
PWY-6431	HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN // RXN-8871
PWY-5996	RXN-9666 // 1.14.19.1-RXN
PWY-6217	RXN-10427 // RXN-10428 // RXN-10425 // RXN-10426
PWY-7351	BETA-ALANOPINE-DEHYDROGENASE-RXN // TAUROPINE-DEHYDROGENASE-RXN // STROMBINE-DEHYDROGENASE-RXN // ALANOPINE-DEHYDROGENASE-RXN // 1.5.1.11-RXN
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	RXN-16594 // RXN-16593 // RXN-16592 // 2.4.1.119-RXN // 2.4.1.117-RXN // 2.4.1.83-RXN // RXN-5472 // RXN-5471 // RXN-5470 // RXN-5469 // RXN-5468 // RXN-5467 // RXN-5466 // RXN-5464 // RXN-5462 // RXN-5463 // 2.4.1.142-RXN // 2.4.1.141-RXN // 2.7.8.15-RXN
PWY2DNV-11	RXN2DNV-43 // RXN2DNV-42 // H2PTEROATESYNTH-RXN
PWY-5075	LEUCINE-23-AMINOMUTASE-RXN // RXN-7691 // RXN-7690
CITRULBIO-PWY	GLUTAMIN-RXN // RXN-14903 // GLUTSEMIALDEHYDROG-RXN // GLUTKIN-RXN // ORNCARBAMTRANSFER-RXN // ORNITHINE-GLU-AMINOTRANSFERASE-RXN // SPONTPRO-RXN // ARGINASE-RXN
PWY0-1576	RXN0-7399 // R601-RXN
PWY-7352	RXN-17998 // RXN-16479 // RXN-14828 // RXN-14833 // RXN-16478 // RXN-14874 // RXN-14875 // RXN-14856 // RXN-14854 // RXN-14830 // RXN-14829 // RXN-14826 // RXN-14827 // RXN-14825 // RXN-14824 // RXN-14818 // RXN-14844 // RXN-14831 // RXN-14846
PWY66-432	3.4.21.22-RXN // RXN66-683 // RXN66-681 // 3.4.21.95-RXN // 3.4.21.5-RXN // 3.4.21.6-RXN // RXN66-682 // 3.4.21.27-RXN // 3.4.21.21-RXN // 3.4.21.38-RXN // RXN66-680
PWY-8411	RXN-23570 // RXN-23569 // RXN-23568 // RXN-23567 // RXN-23566 // RXN-23565 // RXN-23564 // RXN-23563 // 1.1.1.232-RXN // ARACHIDONATE-8-LIPOXYGENASE-RXN // RXN-23433 // ARACHIDONATE-15-LIPOXYGENASE-RXN // RXN66-490 // ARACHIDONATE-5-LIPOXYGENASE-RXN // RXN-20570 // RXN-22994 // ARACHIDONATE-12-LIPOXYGENASE-RXN // RXN-20569 // RXN-23432
