Pathways	Common-Name
PWY-6392	<i>meso</i>-butanediol biosynthesis II
PWY0-1295	pyrimidine ribonucleosides degradation
PWY-8268	methylarsonous acid detoxification II
PWY3O-6	dehydro-D-arabinono-1,4-lactone biosynthesis
PWY-7872	D-erythronate degradation I
PWY-981	salicylate biosynthesis III
PWY-6408	pyochelin biosynthesis
PWY-5525	D-glucuronate degradation I
TCA-1	TCA cycle VIII (Chlamydia)
P201-PWY	nitroglycerin degradation
PWY-7094	fatty acid salvage
PWY-8409	cyathin biosynthesis
PWY-6353	purine nucleotides degradation II (aerobic)
PWY-7452	cyanidin dimalonylglucoside biosynthesis
PWY-8142	L-ascorbate biosynthesis VI (plants, <i>myo</i>-inositol pathway)
PWY-5360	superpathway of tetrathionate reduction (<i>Salmonella typhimurium</i>)
PWY-7583	arachidonate biosynthesis II (bacteria)
PWY-6396	superpathway of 2,3-butanediol biosynthesis
PWY-6557	glycosaminoglycan-protein linkage region biosynthesis
PWY-361	monolignol biosynthesis
PWY-6599	guanine and guanosine salvage II
PWY-6192	3,4-dichlorotoluene degradation
PWY18C3-6	superpathway of glycoalkaloid metabolism (Solanaceae)
PWY-6013	crepenynate biosynthesis
PWY-2861	biochanin A conjugates interconversion
PWY-6093	4,5-dichlorocatechol degradation
PWY-6996	daidzin and daidzein degradation
PWY-7845	heme degradation II
PWY-7485	tetracenomycin C biosynthesis
PWY-8391	D-galacturonate degradation III
PWY-7765	3-hydroxy-4-methyl-anthranilate biosynthesis II
PWY-7245	superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)
THIOREDOX-PWY	thioredoxin pathway
HSERMETANA-PWY	L-methionine biosynthesis III
PWY-7489	oryzalexin A, B, and C biosynthesis
PWY185E-8	<i>trans,octacis</i>-decaprenylphospho-&beta;-D-arabinofuranose biosynthesis
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)
PWY-7862	D-altritol and galactitol degradation
PWY-7936	psilocybin biosynthesis
PWY3DJ-12	ceramide <i>de novo</i> biosynthesis
PWY-5247	methanogenesis from methylamine
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
PWY-5154	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)
PWY-8224	<i>Escherichia coli</i> serotype O:157/<i>Salmonella enterica</i> serotype O:30 O antigen biosynthesis
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I
PWY-7751	shinorine biosynthesis
PWY-6848	rutin degradation
PWY-7397	naringenin biosynthesis (engineered)
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)
PWY-7878	A-factor &gamma;-butyrolactone biosynthesis
PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation
PWY-8051	anandamide biosynthesis I
PWY-6330	acetaldehyde biosynthesis II
PWY-7006	4-amino-3-hydroxybenzoate degradation
PWY-8356	maresin biosynthesis
PWY-6606	guanosine nucleotides degradation II
PWY18C3-14	superpathway of glandular trichomes produced diterpenoids (tobacco)
PWY-481	ethylbenzene degradation (anaerobic)
PWYI-14	lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>)
PWY-7901	glucosinolate biosynthesis from tyrosine
PWY18C3-22	methylsalicylate biosynthesis
PWY-6875	retinoate biosynthesis II
PWY-2083	isoflavonoid biosynthesis II
PWY66-162	ethanol degradation IV
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)
PWY-5302	sulfur disproportionation II (aerobic)
PWY-5676	acetyl-CoA fermentation to butanoate
PWY8J2-25	<i>S</i>-(2-succinyl)-L-cysteine degradation
PWY-7846	heme degradation V
PWY-7981	&alpha;-dystroglycan glycosylation
PWY-6312	aloin biosynthesis
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)
PWY-7089	taxiphyllin bioactivation
PWY-2582	brassinolide biosynthesis II
PWY-5690	TCA cycle II (plants and fungi)
PWY-622	starch biosynthesis
P303-PWY	ammonia oxidation II (anaerobic)
ALANINE-SYN2-PWY	L-alanine biosynthesis II
PWY-6419	shikimate degradation II
PWY-6322	phosphinothricin tripeptide biosynthesis
PWY-6624	salicylate glucosides biosynthesis III
PWY-5130	2-oxobutanoate degradation I
PWY-7813	thiosulfate disproportionation III (quinone)
PWY-7391	isoprene biosynthesis II (engineered)
PWY-7643	coniferyl alcohol 9-methyl ether biosynthesis
PWY66-161	ethanol degradation III
PWY-8097	5-hydroxybenzimidazole biosynthesis (anaerobic)
PWY-7956	3-[(<i>E</i>)-2-isocyanoethenyl]-1<i>H</i>-indole biosynthesis
PWY-6818	ornithine lipid biosynthesis
PWY-0	putrescine degradation III
URSIN-PWY	ureide biosynthesis
PWY-7599	anditomin biosynthesis
PWY-7658	protein <I>N</i>-glycosylation (<i>Methanococcus voltae</i>)
PWY-4302	aerobic respiration III (alternative oxidase pathway)
PWY-6113	superpathway of mycolate biosynthesis
PWY-5821	dalcochinin biosynthesis
PWY1R65-1	lipid A-core biosynthesis (<i>Salmonella</i>)
PWY-8491	UDP-<i>N</i>-acety-&alpha;-D-xylosamine biosynthesis
P344-PWY	superpathway of acrylonitrile degradation
PWY-5783	octaprenyl diphosphate biosynthesis
PWY-I9	L-cysteine biosynthesis VI (reverse transsulfuration)
PWY-6145	superpathway of CMP-sialic acids biosynthesis
PWY-1	lathyrine biosynthesis
PWY-5436	L-threonine degradation IV
PWY-7459	kojibiose degradation
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
PWY-7631	arctigenin and isoarctigenin biosynthesis
PWY-6325	echinatin biosynthesis
PWY-6303	methyl indole-3-acetate interconversion
PWY-8329	L-arabinose degradation V
PWY-1341	phenylacetate degradation II (anaerobic)
PWY-7487	(+)-secoisolariciresinol diglucoside biosynthesis
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis
PWY-7616	methanol oxidation to carbon dioxide
PWY-6130	glycerol degradation III
PCEDEG-PWY	tetrachloroethene degradation
PWY-4983	nitric oxide biosynthesis II (mammals)
PWY-6445	fenchol biosynthesis II
PWY-7842	UDP-yelosamine biosynthesis
PWY-5399	betacyanin biosynthesis
4TOLCARBDEG-PWY	4-toluenecarboxylate degradation
PCPDEG-PWY	pentachlorophenol degradation
PWY-7375	mRNA capping I
PWY-7301	dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis
PWY-8364	7,8-dimethylmenaquinone biosynthesis
PWY-7992	superpathway of menaquinol-8 biosynthesis III
PWY-3602	L-carnitine degradation III
PWY-8072	alanine racemization
P165-PWY	superpathway of purines degradation in plants
PWY-7991	toxoflavin biosynthesis
PWY-1981	indole-3-acetate inactivation III
PWY-7372	demethylmenaquinol-6 biosynthesis II
PWY-8371	mannosylerythritol lipids biosynthesis
PWY-5305	bixin biosynthesis
PWY-8008	staphyloferrin B biosynthesis
PWY-7105	olivetol biosynthesis
PWY-7832	ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide
PWY-6124	inosine-5'-phosphate biosynthesis II
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)
ENTBACSYN-PWY	enterobactin biosynthesis
PWY-8052	2-arachidonoylglycerol biosynthesis
PWY-8187	L-arginine degradation XIII (reductive Stickland reaction)
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway
PWY-7321	ecdysteroid metabolism (arthropods)
PWY-7010	2-propylphenol degradation
PWY-7630	hinokinin biosynthesis
PWY-6667	resveratrol degradation
PWY-6401	hispidol and hispidol 4'-<i>O</i>-&beta;-<i>D</i>-glucoside biosynthesis
PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)
PWY66-389	phytol degradation
PWY-5168	ferulate and sinapate biosynthesis
PWY-6304	casbene biosynthesis
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I
PWY-7836	ganglio-series glycosphingolipids biosynthesis
PWY-7394	urate conversion to allantoin II
PWY-6403	carrageenan biosynthesis
PWY-8437	furaquinocin biosynthesis
PWY-6724	starch degradation II
P562-PWY	<I>myo</I>-inositol degradation I
PWY-6737	starch degradation V
PWY-7428	2-chloroacrylate degradation II
PWY-7695	aurofusarin biosynthesis
PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)
PWY-7455	allopregnanolone biosynthesis
PWY-7938	isorenieratene biosynthesis I (actinobacteria)
PWY-3961	phosphopantothenate biosynthesis II
PWY-6813	glucuronoarabinoxylan degradation
PWY-6605	adenine and adenosine salvage II
PWY-8003	<i>trans</i>-caffeate degradation (aerobic)
PWY66-368	ketolysis
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis
PWY-5843	cocaine biosynthesis
PWY-5891	menaquinol-11 biosynthesis
PWY-7812	tetracycline and oxytetracycline biosynthesis
PWY-7465	3,3'-thiodipropanoate degradation
PWY-5171	<i>N</i>-cyclopropylmelamine degradation
PWY-5181	toluene degradation III (aerobic) (via <i>p</i>-cresol)
PWY-6649	glycolate and glyoxylate degradation III
PWY-6363	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation
PWY-5062	superpathway of nicotinate degradation
PWY-7457	sulfite oxidation V (SoeABC)
DISSULFRED-PWY	dissimilatory sulfate reduction
PWY-7496	linuron degradation
MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis
PWY0-1061	superpathway of L-alanine biosynthesis
PWY-7784	reductive acetyl coenzyme A pathway II (autotrophic methanogens)
PWY-2181	free phenylpropanoid acid biosynthesis
PWY-8318	L-fucose degradation III
PWY-1801	formaldehyde oxidation II (glutathione-dependent)
P183-PWY	catechol degradation to 2-hydroxypentadienoate I
PWY-6389	pyruvate fermentation to (<i>S</i>)-acetoin
PWY-5983	trehalose biosynthesis VI
PWY-7000	kanamycin biosynthesis
PWY-6947	superpathway of cholesterol degradation II (cholesterol dehydrogenase)
PWY-7253	apigeninidin 5-<i>O</i>-glucoside biosynthesis
PWY-6675	sulfur oxidation IV (intracellular sulfur)
PWY-7740	&beta;-D-mannosyl phosphomycoketide biosynthesis
PWY-8413	representative whole plasma EPA-derived icosanoids
PWY-5642	2,4-dinitrotoluene degradation
TRYPANOSYN-PWY	trypanothione biosynthesis
PWY-5514	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II
PWY-7960	rhabduscin biosynthesis
PWY0-901	L-selenocysteine biosynthesis I (bacteria)
PWY-6596	adenosine nucleotides degradation I
PWY-8229	UDP-3-acetamido-2,3-dideoxy-2-(seryl)amino-&alpha;-D-glucuronamide biosynthesis
PWY-6142	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>)
PWY-5115	GDP-L-galactose biosynthesis
PWY-7671	saframycin A biosynthesis
PWY0-1321	nitrate reduction III (dissimilatory)
PWY-6917	vernolate biosynthesis III
PWY-7069	oleanolate biosynthesis
PWY-7081	4-aminophenol degradation
PWY-6834	spermidine biosynthesis III
PWY-7647	ulvan degradation
PWY-6464	polyvinyl alcohol degradation
PWY-7640	abscisic acid degradation to neophaseic acid
PWY-5981	CDP-diacylglycerol biosynthesis III
PWY-5420	catechol degradation II (<I>meta</I>-cleavage pathway)
PWY-6696	oxalate degradation III
PWY-6390	(<i>S,S</i>)-butanediol biosynthesis
PWY-6971	oleandomycin biosynthesis
PWY66-385	dTMP <i>de novo</i> biosynthesis (mitochondrial)
PWY-6621	salicylate glucosides biosynthesis I
PWY-7295	L-arabinose degradation IV
PWY-2501	fatty acid &alpha;-oxidation I (plants)
PWY-8028	cycloartenol biosynthesis
PWY-7160	polymethylated myricetin biosynthesis (tomato)
PWY-5439	betacyanin biosynthesis (via dopamine)
PWY-7139	sesaminol glucoside biosynthesis
PWY-8462	UDP-<i>N</i>-acetyl-&alpha;-D-mannosamine biosynthesis
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	sophorosyloxydocosanoate deacetylation
PWY-7904	tRNA-uridine<sup>34</sup> modifications (thermophilic bacteria)
PWY-7926	carbon disulfide oxidation III (metazoa)
PWY3O-355	stearate biosynthesis III (fungi)
PWY-8076	8-<i>O</i>-methylated benzoxazinoid glucoside biosynthesis
PWY-6173	histamine biosynthesis
PWY-7608	neoxaline biosynthesis
PROPIONMET-PWY	propanoyl CoA degradation I
PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage)
PWY-7469	gentisate degradation II
PWY-7738	polyacyltrehalose biosynthesis
PWY-7893	protein Pupylation and dePupylation
PWY-6707	gallate biosynthesis
PWY-6399	melatonin degradation II
PWY-6080	4-ethylphenol degradation (anaerobic)
PWY1YI0-1	arsenate detoxification V
PWY1YI0-7	protective electron sinks in the thylakoid membrane (PSII to PTOX)
HISDEG-PWY	L-histidine degradation I
PWY4FS-8	phosphatidylglycerol biosynthesis II
PWY-5736	isopropylamine degradation
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)
PWY-7783	plasmalogen degradation
PWY-7483	elloramycin biosynthesis
PWY-6539	(<i>Z</i>)-phenylmethanethial <i>S</i>-oxide biosynthesis
PWY-6099	1,2,4,5-tetrachlorobenzene degradation
PWY-5400	amaranthin biosynthesis
PWY-7782	plasmalogen biosynthesis I (aerobic)
PWY-7759	bacteriochlorophyll <i>c</i> biosynthesis
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
PWY-6090	1,2-dichlorobenzene degradation
PWY-6955	lincomycin A biosynthesis
PWY-7443	(4S)-carvone biosynthesis
PWY-6327	tetrathionate oxidation
PWY-6535	4-aminobutanoate degradation I
PWY-6949	DIBOA-glucoside biosynthesis
PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
PWY-5287	sanguinarine and macarpine biosynthesis
PWY-7436	vitamin E biosynthesis (tocotrienols)
PWY0-1325	superpathway of L-asparagine biosynthesis
PWY0-1477	ethanolamine utilization
PWY-8009	L-cysteine biosynthesis VIII (Thermococcus kodakarensis)
PWY-6990	(+)-camphor biosynthesis
PWY-6857	retinol biosynthesis
PWY-7211	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis
PWY-7339	10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent, yeast)
PWY-3061	menthol biosynthesis
PWY-5706	alliin metabolism
PWYQT-4450	aliphatic glucosinolate biosynthesis, side chain elongation cycle
PWY-7605	roquefortine C biosynthesis
PWY-7106	erythromycin D biosynthesis
TAURINEDEG-PWY	taurine degradation III
PWY-6554	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)
PWY-6781	chlorogenic acid degradation
PWY-8135	bile acids deconjugation
PWY-7727	docosahexaenoate biosynthesis IV (4-desaturase, mammals)
PWY-7419	FR-900098 and FR-33289 antibiotics biosynthesis
GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis
PWY-5938	pyruvate fermentation to (<i>R</i>)-acetoin I
CYANCAT-PWY	cyanate degradation
2PHENDEG-PWY	phenylethylamine degradation I
PWY-5915	phycoerythrobilin biosynthesis I
NOPALINEDEG-PWY	nopaline degradation
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I
PWY66-21	ethanol degradation II
PWY8J2-23	methylglyoxal degradation X
P221-PWY	octane oxidation
PWY-5484	glycolysis II (from fructose 6-phosphate)
PWY-5686	UMP biosynthesis I
PWY-7902	glucosylglycerol biosynthesis
PWY-7851	coenzyme A biosynthesis II (eukaryotic)
PENTOSE-P-PWY	pentose phosphate pathway
PWY-8082	glycine lipid biosynthesis
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-5723	Rubisco shunt
PWY-5826	hypoglycin biosynthesis
PWY-6853	ethene biosynthesis II (microbes)
PWY-2503	benzoate degradation I (aerobic)
PWY-6370	ascorbate recycling (cytosolic)
PWY-6082	alginate biosynthesis II (bacterial)
PWY-6821	&kappa;-carrageenan degradation
PWY0-501	lipoate biosynthesis and incorporation I
PWY-7885	phosphatidylinositol mannoside biosynthesis
PWY-6610	adenine salvage
PWY-5918	superpathway of heme <i>b</i> biosynthesis from glutamate
PWY-6815	porphyran degradation
PWY-6572	chondroitin sulfate degradation I (bacterial)
PWY-5133	colupulone and cohumulone biosynthesis
P41-PWY	pyruvate fermentation to acetate and (<i>S</i>)-lactate I
PWY-6320	phaselate biosynthesis
PWY-7892	tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)
PWY-6863	pyruvate fermentation to hexanol (engineered)
PWY2B4Q-9	<i>Brucella abortus</i> lipopolysaccharide biosynthesis (final steps)
PWY-6273	phosphatidylethanolamine biosynthesis III
PWY0-1356	formate to dimethyl sulfoxide electron transfer
PWY-5459	methylglyoxal degradation IV
PWY-1961	indole-3-acetate inactivation I
PWY-7982	pinoresinol degradation
PWY18C3-18	labdenediol and sclareol biosynthesis
PWY-8265	roxarsone (and nitarsone) degradation IV
PWY-6808	dTDP-&alpha;-D-forosamine biosynthesis
PWY-6524	lychnose and isolychnose biosynthesis
PWY-8297	6-diazo-5-oxo-L-norleucine biosynthesis
PWY-6643	coenzyme M biosynthesis II
PWY-5493	reductive monocarboxylic acid cycle
PWY-7471	D-carnitine degradation I
PWY-6683	assimilatory sulfate reduction III
PWY-7985	oxalate degradation VI
PWY-5104	L-isoleucine biosynthesis IV
P181-PWY	nicotine degradation I (pyridine pathway)
PWY-5845	superpathway of menaquinol-9 biosynthesis
SULFUROX-PWY	sulfur oxidation I (aerobic)
PWY-8094	superpathway of kavalactone biosynthesis
PWY-7337	10-<i>cis</i>-heptadecenoyl-CoA degradation (yeast)
PWY-5332	sulfur reduction I
PWY0-1297	superpathway of purine deoxyribonucleosides degradation
PWY-7129	quercetin glucoside biosynthesis (<i>Allium</i>)
PWY-7088	taxiphyllin biosynthesis
PWY-6072	superpathway of dimethylsulfone degradation
PWY-5061	6,7,4'-trihydroxyisoflavone biosynthesis
PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis
P163-PWY	L-lysine fermentation to acetate and butanoate
PWY-301	cyclohexane-1-carboxylate degradation I (anaerobic)
PWY-6966	methanol oxidation to formaldehyde I
PWY-7495	gossypetin metabolism
PWY-6983	<i>threo</i>-tetrahydrobiopterin biosynthesis
PWY-3861	mannitol degradation II
PWY-6564	superpathway of heparan sulfate biosynthesis
PWY-7042	the visual cycle (insects)
PWY-7014	paromamine biosynthesis I
PWY-5536	acetate formation from acetyl-CoA (succinate)
PWY-7816	poly(ribitol phosphate) wall teichoic acid biosynthesis II (<i>S. aureus</i>)
PWY0-321	phenylacetate degradation I (aerobic)
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis
PWY-5846	colchicine biosynthesis
PWY-6824	justicidin B biosynthesis
PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)
PWY-6922	L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis
PWY-7802	N-end rule pathway II (prokaryotic)
PWY-7556	(-)-microperfuranone biosynthesis
PWY0-1348	NADH to dimethyl sulfoxide electron transfer
PWY-7540	aflatrem biosynthesis
PWY-8434	cucurbitacin biosynthesis
PWY-8016	L-tyrosine degradation V (reductive Stickland reaction)
PWY-5978	kanosamine biosynthesis I
AMMOXID-PWY	ammonia oxidation I (aerobic)
PWYQT-4474	glucosinolate biosynthesis from pentahomomethionine
PWY-7525	fumitremorgin C biosynthesis
PWY-5992	thalianol and derivatives biosynthesis
PWY-8392	D-arabinitol degradation II
PWY-5895	menaquinol-13 biosynthesis
PWY-5480	pyruvate fermentation to ethanol I
PWY-8449	mannopine and agropine biosynthesis
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)
PWY-6054	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)
PWY-6268	adenosylcobalamin salvage from cobalamin
PWY-7604	notoamide C and D biosynthesis
PWY-6648	rhamnolipid biosynthesis
ASPARTATESYN-PWY	L-aspartate biosynthesis
PWY-8381	sulfazecin biosynthesis
PWY-5467	gramine biosynthesis
PWY-2002	isoflavonoid biosynthesis I
PWY-5257	superpathway of pentose and pentitol degradation
PWY-5423	oleoresin monoterpene volatiles biosynthesis
P42-PWY	incomplete reductive TCA cycle
PWY-5119	acacetin biosynthesis
GLYCGREAT-PWY	creatine biosynthesis
PWY-6060	malonate degradation II (biotin-dependent)
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis
PWY-5757	fosfomycin biosynthesis
PWY-7157	eupatolitin 3-<i>O</i>-glucoside biosynthesis
PWY-6772	hydrogen production V
METHANOGENESIS-PWY	methanogenesis from H<SUB>2</SUB> and CO<SUB>2</SUB>
PWY-5161	6'-deoxychalcone metabolism
PWY-5110	trigonelline biosynthesis
PWY-5707	propanethial <i>S</i>-oxide biosynthesis
PWY-5967	lupinate biosynthesis
PWY-5840	superpathway of menaquinol-7 biosynthesis
PWY-6583	pyruvate fermentation to butanol I
PWY-5851	demethylmenaquinol-9 biosynthesis
PWY-6453	stigma estolide biosynthesis
ARGININE-SYN4-PWY	L-ornithine biosynthesis II
PWY18C3-2	solasodine and soladulcidine biosynthesis
TOLUENE-DEG-4-OH-PWY	toluene degradation to 4-methylphenol
PWY-702	L-methionine biosynthesis II
PWY-5656	mannosylglycerate biosynthesis I
PWY-8152	androstenedione degradation II (anaerobic)
PWY-7003	glycerol degradation to butanol
PWY-6623	salicylate glucosides biosynthesis II
PWY-5368	dimorphecolate biosynthesis
PWY-5315	1-methylpyrrolinium biosynthesis
PWY-6234	superpathway of jasmonoyl-amino acid conjugates biosynthesis
PWY-6422	D-arginine degradation
PWY-6859	<i>all-trans</i>-farnesol biosynthesis
PWY-7111	pyruvate fermentation to isobutanol (engineered)
PWY-8240	superpathway of sterol biosynthesis in diatoms
PWY-7015	ribostamycin biosynthesis
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)
PWY-6845	nitric oxide biosynthesis I (plants)
PWY-7873	D-erythronate degradation II
PWY-6989	(<i>S</i>)-camphor degradation
PWY-8018	itaconate biosynthesis II
PWY-6432	curcuminoid biosynthesis
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
PWY-7850	taurine biosynthesis II
CODH-PWY	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)
PWY-7481	oryzalide A biosynthesis
PWY-6000	&gamma;-linolenate biosynthesis II (animals)
PWY-7837	i antigen and I antigen biosynthesis
PWY-7449	acylated cyanidin galactoside biosynthesis
PWY-7575	superpathway of candicidin biosynthesis
PWY-7229	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I
PWY-8176	geraniol biosynthesis (cytosol)
PWY-6058	dimethyl sulfone degradation
PWY-8418	<i>S</i>-benzyl-L-cysteine degradation
SHIKIMATEDEG-PWY	shikimate degradation I
LIPAS-PWY	triacylglycerol degradation
PWY-4203	volatile benzenoid biosynthesis I (ester formation)
PWY-7446	sulfoquinovose degradation I
PWY-7547	prodigiosin biosynthesis
PWY-7072	hopanoid biosynthesis (bacteria)
PWY0-1591	glycerol-3-phosphate to hydrogen peroxide electron transport
PWY-6221	2-chlorobenzoate degradation
PWY-7655	dechlorogriseofulvin biosynthesis
PWY-7213	wogonin metabolism
SERSYN-PWY	L-serine biosynthesis I
PWY-7562	3,6-anhydro-&alpha;-L-galactopyranose degradation
PWY-4502	wighteone and luteone biosynthesis
PWY-7277	sphingolipid biosynthesis (mammals)
TEICHOICACID-PWY	poly(glycerol phosphate) wall teichoic acid biosynthesis
PWY-5991	superpathway of linamarin and lotaustralin biosynthesis
PWY-8155	testosterone degradation (anaerobic)
PWY66-394	aspirin triggered resolvin E biosynthesis
PWY-6762	salicylate glucosides biosynthesis IV
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II
PWY-5787	oligomeric urushiol biosynthesis
P561-PWY	proline betaine degradation I
PWY-7268	cytosolic NADPH production (yeast)
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)
PWY-7142	cyanide detoxification II
PWY-5823	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis
PWY-8321	salicylate biosynthesis II
PWY-2381	4-nitrobenzoate degradation
PWY66-409	superpathway of purine nucleotide salvage
PWY-5348	kaempferol triglucoside biosynthesis
PWY-5644	4-nitrotoluene degradation II
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation
PWY-7292	oleate &beta;-oxidation (thioesterase-dependent, yeast)
PWY-3282	superpathway of ammonia assimilation (plants)
PWY-7464	cyanidin 3,7-diglucoside polyacylation biosynthesis
PWY-6634	3-sulfopropanediol degradation I
METHFORM-PWY	methyl-coenzyme M reduction to methane
PWY-8064	sodorifen biosynthesis
PWY-8098	cyclic 2,3-bisphosphoglycerate biosynthesis
PWY3O-224	nicotinate riboside salvage pathway I
PWY-6001	linoleate biosynthesis II (animals)
PWY-8066	methylphosphonate degradation III
PWY-4361	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I
PWY-6032	digitoxigenin biosynthesis
PWY-5103	L-isoleucine biosynthesis III
P141-PWY	atrazine degradation I (aerobic)
PWY-6266	superpathway of flavones and derivatives biosynthesis
PWY-7234	inosine-5'-phosphate biosynthesis III
PWY-6232	chrysoeriol biosynthesis
PWY-6604	superpathway of <i>Clostridium acetobutylicum</i> acidogenic and solventogenic fermentation
PWY-7791	UMP biosynthesis III
PWY66-5	superpathway of cholesterol biosynthesis
PWY-6349	C<sub>20,20</sub> CDP-archaeol biosynthesis
PWY-6650	juvenile hormone III biosynthesis II
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I
PWY-8100	crotonosine biosynthesis
PWY-8293	alazopeptin biosynthesis
PWY-112	lupeol biosynthesis
PWY-7497	3&beta;-hydroxysesquiterpene lactone biosynthesis
PWY-7965	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-8257	<i>Escherichia coli</i> serotype O:52 O antigen biosynthesis
PWY-8040	ansatrienin biosynthesis
LYSINE-DEG1-PWY	L-lysine degradation XI
PWY-4002	L-asparagine degradation II
TYRSYN	L-tyrosine biosynthesis I
PWY4FS-7	phosphatidylglycerol biosynthesis I
PWY0-1581	nitrate reduction IX (dissimilatory)
PWY-7615	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)
PWY-5739	GDP-D-perosamine biosynthesis
PWY-2681	<i>trans</i>-zeatin biosynthesis
PWY-5082	L-methionine degradation III
PWY-8361	apratoxin A biosynthesis
PWY4FS-11	L-ascorbate biosynthesis II (plants, L-gulose pathway)
PWY-7870	L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)
PWY-7274	D-cycloserine biosynthesis
PWY-6337	dehydroscoulerine biosynthesis
PWY-7953	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis III (<i>meso</i>-diaminopimelate containing)
RIBOKIN-PWY	ribose phosphorylation
PWY-8180	acrylate degradation II
PWY-7070	steviol biosynthesis
PWY-7153	grixazone biosynthesis
PWY-6791	xyloglucan degradation I (endoglucanase)
PWY-83	monolignol glucosides biosynthesis
PWY-7371	5,8-dihydroxy-2-naphthoate biosynthesis II
PWY-7746	mycobacterial sulfolipid biosynthesis
PWY-8440	nucleoside and nucleotide degradation (halobacteria)
PWY66-426	hydrogen sulfide biosynthesis II (mammalian)
PWY-6418	4-hydroxycoumarin and dicoumarol biosynthesis
PWY-7629	yatein biosynthesis II
PWY-5108	L-isoleucine biosynthesis V
PWY-7961	phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7501	phosphatidylserine biosynthesis I
PWY-8446	carminate degradation
